Component,Is_Breaker
Line.line_dho_3074_3075,0
Line.line_dho_3075_3076,0
Line.line_dho_3076_3077,0
Line.line_dho_3077_3078,0
Line.line_dho_3078_3079,0
Line.line_dho_3079_3080,0
Line.line_dho_3080_3081,0
Line.line_dho_3081_3082,0
Line.line_dho_3082_3083,0
Line.line_dho_3083_3084,0
Line.line_dho_3084_3085,0
Line.line_dho_3085_3086,0
Line.line_dho_3086_3087,0
Line.line_dho_3087_3134,0
Line.line_dho_3088_3089,0
Line.line_dho_3089_3090,0
Line.line_dho_3090_3091,0
Line.line_dho_3091_3092,0
Line.line_dho_3092_3093,0
Line.line_dho_3093_3094,0
Line.line_dho_3094_3095,0
Line.line_dho_3096_3097,0
Line.line_dho_3097_3098,0
Line.line_dho_3098_3099,0
Line.line_dho_3099_3100,0
Line.line_dho_3100_3108,0
Line.line_dho_3101_3102,0
Line.line_dho_3102_3103,0
Line.line_dho_3103_3104,0
Line.line_dho_3104_3105,0
Line.line_dho_3105_3106,0
Line.line_dho_3106_3107,0
Line.line_dho_3108_3101,0
Line.line_dho_3108_3109,0
Line.line_dho_3109_3110,0
Line.line_dho_3110_3111,0
Line.line_dho_3111_3112,0
Line.line_dho_3112_3113,0
Line.line_dho_3113_3114,0
Line.line_dho_3114_3115,0
Line.line_dho_3115_3116,0
Line.line_dho_3116_3117,0
Line.line_dho_3117_3118,0
Line.line_dho_3119_3120,0
Line.line_dho_3121_3120,0
Line.line_dho_3122_3121,0
Line.line_dho_3123_3122,0
Line.line_dho_3124_3123,0
Line.line_dho_3125_3124,0
Line.line_dho_3126_3125,0
Line.line_dho_3127_3126,0
Line.line_dho_3128_3127,0
Line.line_dho_3129_3128,0
Line.line_dho_3130_3129,0
